epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6875,1.38595,2.79897,1.93847,0.27293,0.57222,0.25603,0.09854,2.1761,3.50367,3.26061,0.000467673,0.000467673,0.000467673
2,76.6153,1.28726,1.82719,1.8514,0.60261,0.16667,0.09106,0.0174,3.42366,4.47357,4.07662,0.000906623,0.000906623,0.000906623
3,111.475,1.27779,1.79286,1.84854,0.01676,0.05,0.00299,0.0014,4.25611,5.7861,4.57165,0.00130785,0.00130785,0.00130785
4,144.7,1.25907,1.68923,1.81733,0.43499,0.36234,0.35687,0.12164,2.34371,2.68922,3.16715,0.00125923,0.00125923,0.00125923
5,177.895,1.20055,1.65572,1.77542,0.73827,0.13333,0.19486,0.08032,2.19446,2.93148,3.07689,0.00120265,0.00120265,0.00120265
6,213.404,1.19289,1.55401,1.74663,0.46193,0.45556,0.47927,0.24235,1.94547,2.35211,2.85622,0.00114606,0.00114606,0.00114606
7,252.698,1.13767,1.51578,1.73404,0.49311,0.58333,0.50912,0.19309,2.08241,2.25899,2.77372,0.00108947,0.00108947,0.00108947
8,286.372,1.10968,1.47192,1.69119,0.32318,0.28889,0.19389,0.07277,1.95632,3.45448,2.91208,0.00103288,0.00103288,0.00103288
9,318.062,1.07,1.3801,1.64556,0.77385,0.42944,0.50903,0.21879,2.22794,2.35821,2.81064,0.000976293,0.000976293,0.000976293
10,352.865,1.08765,1.3418,1.66346,0.68727,0.62647,0.63698,0.28721,1.89767,1.9592,2.72648,0.000919704,0.000919704,0.000919704
11,387.306,1.02945,1.25524,1.60998,0.60466,0.59444,0.53605,0.20595,2.08415,2.04606,3.02658,0.000863116,0.000863116,0.000863116
12,419.146,1.01159,1.26793,1.59587,0.46377,0.38333,0.41393,0.18022,1.89223,2.17869,2.69465,0.000806528,0.000806528,0.000806528
13,452.899,1.01654,1.18791,1.59918,0.6275,0.54885,0.53487,0.24681,1.80632,1.92529,2.54454,0.000749939,0.000749939,0.000749939
14,488.287,0.98606,1.17281,1.57933,0.72236,0.56111,0.57645,0.28347,1.94695,2.18223,2.69409,0.000693351,0.000693351,0.000693351
15,521.595,0.94761,1.12443,1.5487,0.79512,0.58979,0.71007,0.37194,1.71052,1.70455,2.47218,0.000636762,0.000636762,0.000636762
16,560.031,1.23247,1.22676,1.95872,0.77522,0.64444,0.74862,0.35233,1.8059,1.57495,2.52533,0.000580174,0.000580174,0.000580174
17,593.592,1.18687,1.14113,1.92051,0.80205,0.50511,0.67227,0.34566,1.66285,1.76268,2.44147,0.000523586,0.000523586,0.000523586
18,625.792,1.10574,1.06572,1.852,0.80812,0.7,0.78423,0.37926,1.69255,1.54456,2.42268,0.000466997,0.000466997,0.000466997
19,656.957,1.09915,0.98454,1.83134,0.78442,0.78116,0.83406,0.41114,1.6258,1.35742,2.32919,0.000410409,0.000410409,0.000410409
20,690.968,1.07469,0.93986,1.79332,0.68063,0.73889,0.74003,0.39698,1.62227,1.41556,2.30135,0.00035382,0.00035382,0.00035382
21,721.489,1.02473,0.88245,1.75776,0.80751,0.82222,0.80117,0.42019,1.70638,1.26801,2.36583,0.000297232,0.000297232,0.000297232
22,752.807,0.98644,0.85955,1.72431,0.69748,0.77315,0.77623,0.40799,1.67899,1.30937,2.30328,0.000240644,0.000240644,0.000240644
23,786.121,0.99385,0.80666,1.72258,0.71499,0.8,0.85244,0.46638,1.56397,1.25681,2.21015,0.000184055,0.000184055,0.000184055
24,815.772,0.96097,0.73901,1.68862,0.89025,0.8736,0.87745,0.45168,1.63547,1.18499,2.33078,0.000127467,0.000127467,0.000127467
25,849.833,0.97219,0.72648,1.6909,0.84063,0.86667,0.8743,0.48006,1.53613,1.10988,2.21935,7.08784e-05,7.08784e-05,7.08784e-05
